imdb_id,url,title,year,rating,votes,runtime_minutes,certificate,genres,directors,stars,synopsis,genres_list,cluster_k5_m2
tt0111161,https://www.imdb.com/title/tt0111161/,The Shawshank Redemption,1994,9.3,0.0,142,,,Frank Darabont|Stephen King|Tim Robbins|Morgan Freeman|Bob Gunton,Frank Darabont|Stephen King|Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown|Gil Bellows,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",[],1
tt0068646,https://www.imdb.com/title/tt0068646/,The Godfather,1972,9.2,0.0,175,,,Francis Ford Coppola|Mario Puzo|Marlon Brando|Al Pacino|James Caan,Francis Ford Coppola|Mario Puzo|Marlon Brando|Al Pacino|James Caan|Diane Keaton|Richard S. Castellano|Robert Duvall,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,[],4
tt0468569,https://www.imdb.com/title/tt0468569/,The Dark Knight,2008,9.1,0.0,152,,,Christopher Nolan|Jonathan Nolan|David S. Goyer|Christian Bale|Heath Ledger,Christopher Nolan|Jonathan Nolan|David S. Goyer|Christian Bale|Heath Ledger|Aaron Eckhart|Michael Caine|Maggie Gyllenhaal,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",[],1
tt0071562,https://www.imdb.com/title/tt0071562/,The Godfather Part II,1974,9.0,0.0,202,,,Francis Ford Coppola|Mario Puzo|Al Pacino|Robert De Niro|Robert Duvall,Francis Ford Coppola|Mario Puzo|Al Pacino|Robert De Niro|Robert Duvall|Diane Keaton|John Cazale|Talia Shire,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",[],4
tt0050083,https://www.imdb.com/title/tt0050083/,12 Angry Men,1957,9.0,0.0,96,,,Sidney Lumet|Reginald Rose|Henry Fonda|Lee J. Cobb|Martin Balsam,Sidney Lumet|Reginald Rose|Henry Fonda|Lee J. Cobb|Martin Balsam|John Fiedler|E.G. Marshall|Jack Klugman,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,[],2
tt0167260,https://www.imdb.com/title/tt0167260/,The Lord of the Rings: The Return of the King,2003,9.0,0.0,201,,,Peter Jackson|J.R.R. Tolkien|Fran Walsh|Philippa Boyens|Elijah Wood,Peter Jackson|J.R.R. Tolkien|Fran Walsh|Philippa Boyens|Elijah Wood|Viggo Mortensen|Ian McKellen|Orlando Bloom,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,[],4
tt0108052,https://www.imdb.com/title/tt0108052/,Schindler's List,1993,9.0,0.0,195,,,Steven Spielberg|Thomas Keneally|Steven Zaillian|Liam Neeson|Ralph Fiennes,Steven Spielberg|Thomas Keneally|Steven Zaillian|Liam Neeson|Ralph Fiennes|Ben Kingsley|Caroline Goodall|Jonathan Sagall,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",[],4
tt0120737,https://www.imdb.com/title/tt0120737/,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,0.0,178,,,Peter Jackson|J.R.R. Tolkien|Fran Walsh|Philippa Boyens|Elijah Wood,Peter Jackson|J.R.R. Tolkien|Fran Walsh|Philippa Boyens|Elijah Wood|Ian McKellen|Orlando Bloom|Sean Bean,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,[],4
tt0110912,https://www.imdb.com/title/tt0110912/,Pulp Fiction,1994,8.8,0.0,154,,,Quentin Tarantino|Roger Avary|John Travolta|Uma Thurman|Samuel L. Jackson,Quentin Tarantino|Roger Avary|John Travolta|Uma Thurman|Samuel L. Jackson|Bruce Willis|Tim Roth|Amanda Plummer,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",[],2
tt0060196,https://www.imdb.com/title/tt0060196/,"The Good, the Bad and the Ugly",1966,8.8,0.0,178,,,Sergio Leone|Luciano Vincenzoni|Agenore Incrocci|Clint Eastwood|Eli Wallach,Sergio Leone|Luciano Vincenzoni|Agenore Incrocci|Clint Eastwood|Eli Wallach|Lee Van Cleef|Aldo Giuffrè|Luigi Pistilli,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,[],3
tt0109830,https://www.imdb.com/title/tt0109830/,Forrest Gump,1994,8.8,0.0,142,,,Robert Zemeckis|Winston Groom|Eric Roth|Tom Hanks|Robin Wright,Robert Zemeckis|Winston Groom|Eric Roth|Tom Hanks|Robin Wright|Gary Sinise|Rebecca Williams|Sally Field,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",[],2
tt0167261,https://www.imdb.com/title/tt0167261/,The Lord of the Rings: The Two Towers,2002,8.8,0.0,179,,,Peter Jackson|J.R.R. Tolkien|Fran Walsh|Philippa Boyens|Elijah Wood,Peter Jackson|J.R.R. Tolkien|Fran Walsh|Philippa Boyens|Elijah Wood|Ian McKellen|Viggo Mortensen|Orlando Bloom,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",[],2
tt0137523,https://www.imdb.com/title/tt0137523/,Fight Club,1999,8.8,0.0,139,,,David Fincher|Chuck Palahniuk|Jim Uhls|Brad Pitt|Edward Norton,David Fincher|Chuck Palahniuk|Jim Uhls|Brad Pitt|Edward Norton|Meat Loaf|Zach Grenier|Richmond Arquette,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,[],2
tt1375666,https://www.imdb.com/title/tt1375666/,Inception,2010,8.8,0.0,148,,,Christopher Nolan|Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page,Christopher Nolan|Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page|Tom Hardy|Ken Watanabe|Dileep Rao|Cillian Murphy,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",[],2
tt0080684,https://www.imdb.com/title/tt0080684/,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,0.0,124,,,Irvin Kershner|Leigh Brackett|Lawrence Kasdan|George Lucas|Mark Hamill,Irvin Kershner|Leigh Brackett|Lawrence Kasdan|George Lucas|Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",[],2
tt0133093,https://www.imdb.com/title/tt0133093/,The Matrix,1999,8.7,0.0,136,,,Lana Wachowski|Lilly Wachowski|Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss,Lana Wachowski|Lilly Wachowski|Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Gloria Foster|Joe Pantoliano,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",[],2
tt0099685,https://www.imdb.com/title/tt0099685/,Goodfellas,1990,8.7,0.0,145,,,Martin Scorsese|Nicholas Pileggi|Robert De Niro|Ray Liotta|Joe Pesci,Martin Scorsese|Nicholas Pileggi|Robert De Niro|Ray Liotta|Joe Pesci|Lorraine Bracco|Paul Sorvino|Frank Sivero,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",[],2
tt0816692,https://www.imdb.com/title/tt0816692/,Interstellar,2014,8.7,0.0,169,,,Christopher Nolan|Jonathan Nolan|Matthew McConaughey|Anne Hathaway|Jessica Chastain,Christopher Nolan|Jonathan Nolan|Matthew McConaughey|Anne Hathaway|Jessica Chastain|Ellen Burstyn|Mackenzie Foy|John Lithgow,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",[],2
tt0073486,https://www.imdb.com/title/tt0073486/,One Flew Over the Cuckoo's Nest,1975,8.7,0.0,133,,,Milos Forman|Lawrence Hauben|Bo Goldman|Ken Kesey|Jack Nicholson,Milos Forman|Lawrence Hauben|Bo Goldman|Ken Kesey|Jack Nicholson|Louise Fletcher|Michael Berryman|Peter Brocco,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",[],2
tt0114369,https://www.imdb.com/title/tt0114369/,Se7en,1995,8.6,0.0,127,,,David Fincher|Andrew Kevin Walker|Morgan Freeman|Brad Pitt|Kevin Spacey,David Fincher|Andrew Kevin Walker|Morgan Freeman|Brad Pitt|Kevin Spacey|Daniel Zacapa|Gwyneth Paltrow|John Cassini,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",[],0
tt0038650,https://www.imdb.com/title/tt0038650/,It's a Wonderful Life,1946,8.6,0.0,130,,,Frank Capra|Frances Goodrich|Albert Hackett|James Stewart|Donna Reed,Frank Capra|Frances Goodrich|Albert Hackett|James Stewart|Donna Reed|Lionel Barrymore|Thomas Mitchell|Henry Travers,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,[],3
tt0102926,https://www.imdb.com/title/tt0102926/,The Silence of the Lambs,1991,8.6,0.0,118,,,Jonathan Demme|Thomas Harris|Ted Tally|Jodie Foster|Anthony Hopkins,Jonathan Demme|Thomas Harris|Ted Tally|Jodie Foster|Anthony Hopkins|Scott Glenn|Ted Levine|Anthony Heald,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",[],0
tt0047478,https://www.imdb.com/title/tt0047478/,Seven Samurai,1954,8.6,0.0,207,,,Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni|Toshirô Mifune|Takashi Shimura,Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni|Toshirô Mifune|Takashi Shimura|Keiko Tsushima|Yukiko Shimazaki|Kamatari Fujiwara,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",[],3
tt0120815,https://www.imdb.com/title/tt0120815/,Saving Private Ryan,1998,8.6,0.0,169,,,Steven Spielberg|Robert Rodat|Tom Hanks|Matt Damon|Tom Sizemore,Steven Spielberg|Robert Rodat|Tom Hanks|Matt Damon|Tom Sizemore|Edward Burns|Barry Pepper|Adam Goldberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",[],2
tt0120689,https://www.imdb.com/title/tt0120689/,The Green Mile,1999,8.6,0.0,189,,,Frank Darabont|Stephen King|Tom Hanks|Michael Clarke Duncan|David Morse,Frank Darabont|Stephen King|Tom Hanks|Michael Clarke Duncan|David Morse|Bonnie Hunt|James Cromwell|Michael Jeter,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,[],2
